Item,SAP TN,SAP PL,DCC Type,Description,2024,2025,2026,2027,2028,2029,2030
1,249076,249041,60° & 30°,4 Wire Jacket 2xDCC Modul 9Y4252B,121,"5,325","7,058","7,740","9,016","9,016","8,505"
2,249077,249042,60° & 30°,4 Wire Jacket 2xDCC Modul 9Y4256B,121,"5,325","7,058","7,740","9,016","9,016","8,505"
3,249313,238895,60° & 90°B,4 Wire Jacket 2xDCC Modul 9Y4251,"1,141","50,289","66,663","73,100","85,147","85,147","80,325"
4,249314,238896,60° & 90°B,6 Wire Jacket 2xDCC Modul 9Y4251A,201,"8,874","11,764","12,900","15,026","15,026","14,175"
5,249315,238897,60° & 2*90°B,6 Wire Jacket 3xDCC Modul 9Y4252,"1,221","53,838","71,369","78,260","91,157","91,157","85,995"
6,249316,238899,60° & 90°B,6 Wire Jacket 2xDCC Modul 9Y4255,"1,342","59,163","78,427","86,000","1,00,173","1,00,173","94,500"
7,249317,238900,60° & 2*90°B,6 Wire Jacket 3xDCC Modul 9Y4256,"1,221","53,838","71,369","78,260","91,157","91,157","85,995"
8,249078,249043,30°,"Twisted Wires 1xDCC Modul 9Y4279 AA,AB,AC","1,221","53,839","71,368","78,260","91,158","91,158","85,995"
9,249079,249044,90°B,"Twisted Wires 1xDCC Modul 9Y4279 AA,AB,AC","1,221","53,839","71,368","78,260","91,158","91,158","85,995"
10,249080,249045,90°,"Twisted Wires 1xDCC Modul 9Y4279 AD,AE,AF",120,"5,325","7,058","7,740","9,016","9,016","8,505"
11,249081,249046,60°,"Twisted Wires 1xDCC Modul 9Y4279 AD,AE,AF",120,"5,325","7,058","7,740","9,016","9,016","8,505"
12,249082,249047,60°,"Twisted Wires 1xDCC Modul 9Y4279 AA,AD","1,127","49,697","65,879","72,240","84,145","84,145","79,380"
13,249083,249048,60°,"Twisted Wires 1xDCC Modul 9Y4279 AB,AC,AE,AF",214,"9,467","12,547","13,760","16,029","16,029","15,120"
14,249084,249049,180°,"Twisted Wires 1xDCC Modul 9Y4279 AA,AD","1,127","49,697","65,879","72,240","84,145","84,145","79,380"
15,249085,249050,180°,"Twisted Wires 1xDCC Modul 9Y4279 AB,AC,AE,AF",214,"9,467","12,547","13,760","16,029","16,029","15,120"
16,249086,249051,30°,"Twisted Wires 1xDCC Modul 9Y4286 M,N","1,221","53,839","71,369","66,220","91,157","91,157","85,995"
17,249087,249052,90°B,"Twisted Wires 1xDCC Modul 9Y4286 M,N","1,221","53,839","71,369","66,220","91,157","91,157","85,995"
18,249088,249053,60°,"Twisted Wires 1xDCC Modul 9Y4286 P,Q",120,"5,325","7,058","7,740","9,016","9,016","8,505"
19,249089,249054,90°,"Twisted Wires 1xDCC Modul 9Y4286 P,Q",120,"5,325","7,058","7,740","9,016","9,016","8,505"
20,249090,249055,60°,"Twisted Wires 1xDCC Modul 9Y4286 N,Q",201,"8,875","11,764",860,"15,026","15,026","14,175"
21,249091,249056,60°,"Twisted Wires 1xDCC Modul 9Y4286 M,P","1,140","50,289","66,663","73,100","85,147","85,147","80,325"
22,249092,249057,180°,"Twisted Wires 1xDCC Modul 9Y4286 M,P","1,140","50,289","66,663","73,100","85,147","85,147","80,325"
23,249093,249058,180°,"Twisted Wires 1xDCC Modul 9Y4286 N,Q",201,"8,875","11,764",860,"15,026","15,026","14,175"
24,255164,,180°,"Twisted Wires 1xDCC Modul 512 AC, 513 AC", -   , -   ,"1,58,000","2,34,000","2,34,000","2,22,000","2,22,000"
25,255165,,180°,"Single Wires 1xDCC Modul 512 AC,BC", -   , -   ,"79,000","1,35,000","1,89,000","1,81,000","1,77,000"
26,255166,,180°,"Twisted Wires 1xDCC Modul 512, 513", -   , -   ,"1,58,000","2,70,000","3,78,000","3,62,000","3,54,000"
27,243866,,90°,"Twisted Wires 1xDCC Modul 510 AB,BB", -   , -   ,"79,000","1,35,000","1,89,000","1,81,000","1,77,000"
28,243867,,90°,"Twisted Wires 1xDCC Modul 511 AB,BB", -   , -   ,"79,000","1,35,000","1,89,000","1,81,000","1,77,000"
29,250526,,180° & 90°B,4 Wire Jacket 2xDCC Modul 511 BB, -   , -   , -   ,"18,000","72,000","70,000","66,000"
30,250527,,180° & 90°B,7 Wire Jacket 2xDCC Modul 511 AB, -   , -   ,"79,000","1,17,000","1,17,000","1,11,000","1,11,000"
31,250528,,180°,2 Wire Jacket 1xDCC Modul 510 BB, -   , -   , -   ,"18,000","72,000","70,000","66,000"
32,250529,,180°,5 Wire Jacket 1xDCC Modul 510 AB, -   , -   ,"79,000","1,17,000","1,17,000","1,11,000","1,11,000"
33,253631,,180°,5 Wire Jacket 1xDCC Modul T3-510 AA, -   , -   ,"19,000","47,700","47,800","48,700","49,000"
34,253636,,2*180°,7 Wire Jacket 2xDCC Modul T3-511 AA, -   , -   ,"19,000","47,700","47,800","48,700","49,000"
35,253634,,180° & 90°,4 Wire Jacket 2xDCC Modul T3-510 AA, -   , -   ,"19,000","47,700","47,800","48,700","49,000"
36,253639,,180° & 90°,4 Wire Jacket 2xDCC Modul T3-511 AA, -   , -   ,"19,000","47,700","47,800","48,700","49,000"
37,253641,,60° & 90°,4 Wire Jacket 2xDCC Modul T3-512 AA, -   , -   ,"19,000","47,700","47,800","48,700","49,000"
38,253649,,60° & 90°,4 Wire Jacket 2xDCC Modul T3-513 AA, -   , -   ,"19,000","47,700","47,800","48,700","49,000"
39,253644,,60°,Twisted Wires 1xDCC Modul T3-512 AA, -   , -   ,"19,000","47,700","47,800","48,700","49,000"
40,253651,,60°,Twisted Wires 1xDCC Modul T3-513 AA, -   , -   ,"19,000","47,700","47,800","48,700","49,000"
41,253643,,180°,Single Wires 1xDCC Modul T3-512 AA, -   , -   ,"19,000","47,700","47,800","48,700","49,000"
42,249931,236162,60°,"4 Wire Jacket 1xDCC Modul 983004 _,A",200, -   ,"2,196","21,371","24,327","23,040","22,574"
43,249932,236163,60°,8 Wire Jacket 1xDCC Modul 983003,100, -   ,"2,196","21,371","24,327","23,040","22,574"
44,249933,237552,60°,4 Wire Jacket 1xDCC Modul 983002,100, -   ,"2,196","21,371","24,327","23,040","22,574"
45,249934,237553,60°,4 Wire Jacket 1xDCC Modul 983001,100, -   ,"2,196","21,371","24,327","23,040","22,574"
46,249102,234300,180°,"Twisted Wires 1xDCC Modul 9J0, 9J1 HL","14,700","23,086","21,942","9,353", -   , -   , -   
47,249103,234594,180°,"Twisted Wires 1xDCC Modul 9J0, 9J1 HR","14,800","23,086","21,942","9,353", -   , -   , -   
48,249108,234316,60°,"Twisted Wires 1xDCC Modul 9J1286 _,C","12,100","19,161","18,212","7,763", -   , -   , -   
49,249109,234317,180°,"Twisted Wires 1xDCC Modul 9J1286 _,C","12,100","19,161","18,212","7,763", -   , -   , -   
50,249110,234607,60°,"Twisted Wires 1xDCC Modul 9J1286 B,E","12,300","19,161","18,212","7,763", -   , -   , -   
51,249111,234608,180°,"Twisted Wires 1xDCC Modul 9J1286 B,E","12,300","19,161","18,212","7,763", -   , -   , -   
52,249112,249100,60° & 2*90°B,6 Wire Jacket 3xDCC Modul 9J1289 D,"11,900","19,161","18,212","7,763", -   , -   , -   
53,249113,249101,60° & 2*90°B,6 Wire Jacket 3xDCC Modul 9J1289 E,"11,800","19,161","18,212","7,763", -   , -   , -   
54,249114,249097,60° & 180°,4 Wire Jacket 2xDCC Modul 9J1206 _,"2,500","3,925","3,730","1,590", -   , -   , -   
55,249115,234310,60°,Twisted Wires 1xDCC Modul 9J1206 A,"2,600","3,925","3,730","1,590", -   , -   , -   
56,249116,234311,60°,Twisted Wires 1xDCC Modul 9J1206 A,"2,600","3,925","3,730","1,590", -   , -   , -   
57,249117,249098,60° & 180°,4 Wire Jacket 2xDCC Modul 9J1206 C,"2,500","3,925","3,730","1,590", -   , -   , -   
58,249118,234602,60°,Twisted Wires 1xDCC Modul 9J1206 D,"2,500","3,925","3,730","1,590", -   , -   , -   
59,249119,234603,60°,Twisted Wires 1xDCC Modul 9J1206 D,"2,500","3,925","3,730","1,590", -   , -   , -   
60,249120,249099,90°B,6 Wire Jacket 1xDCC Modul 9J1279 C,"29,200","46,172","43,884","18,706", -   , -   , -   
61,243912,237326,180°,6 Wire Jacket 1xDCC Modul 976279 A,"64,100","73,468","72,148","70,238","68,552","64,078","36,424"
62,243913,237327,180°,10 Wire Jacket 1xDCC Modul 976286 _,"39,100","44,081","43,289","42,143","41,131","38,447","21,854"
63,243914,237328,180°,10 Wire Jacket 1xDCC Modul 976286 A,"26,100","29,387","28,859","28,095","27,421","25,631","14,570"
64,243915,237329,180° & 90°B,4 Wire Jacket 2xDCC Modul 976289 B,"5,400","6,245","6,133","5,970","5,827","5,447","3,096"
65,243916,237330,"60°,180°,90°B",6 Wire Jacket 3xDCC Modul 976289 H,"29,100","33,612","33,008","32,134","31,363","29,316","16,664"
66,243917,237331,"60°,180°,90°B",6 Wire Jacket 3xDCC Modul 976289 J,"29,100","33,612","33,008","32,134","31,363","29,316","16,664"
67,248507,236770,60° & 90°B,4 Wire Jacket 2xDCC Modul 976289 N,"2,700","3,122","3,066","2,985","2,913","2,723","1,548"
68,248508,236771,60° & 90°B,4 Wire Jacket 2xDCC Modul 976289 P,"2,700","3,122","3,066","2,985","2,913","2,723","1,548"
69,248509,237325,180° & 90°B,4 Wire Jacket 2xDCC Modul 976289 Q,"60,000","67,223","66,015","64,268","62,725","58,631","33,328"
70,243700,238059,90° & 90°B,6 Wire Jacket 2xDCC Modul 4P0251,100,727,"7,544","6,831","6,681","5,661","4,337"
71,243701,238060,90° & 90°B,6 Wire Jacket 2xDCC Modul 4P0252,100,727,"7,544","6,831","6,681","5,661","4,337"
72,243702,238061,"180°,90°,90°B",6 Wire Jacket 3xDCC Modul 4P0263,200,441,"4,576","4,143","4,052","3,434","2,631"
73,243703,238062,"180°,90°,90°B",6 Wire Jacket 3xDCC Modul 4P0264,200,441,"4,576","4,143","4,052","3,434","2,631"
74,243704,238063,180° & 90°B,4 Wire Jacket 2xDCC Modul 8B3263,400,572,"5,936","5,375","5,257","4,455","3,413"
75,243705,238064,90°B,Twisted Wires 1xDCC Modul 4P0253_,100,364,"3,772","3,416","3,341","2,831","2,169"
76,243706,238065,90°B,Twisted Wires 1xDCC Modul 4P0253A,100,364,"3,772","3,416","3,341","2,831","2,169"
77,243707,238066,90°B,Twisted Wires 1xDCC Modul 4P0254,200,727,"7,544","6,831","6,681","5,661","4,337"
78,243708,238871,"180°,90°,90°B",6 Wire Jacket 3xDCC Modul 4P0246,100,727,"7,544","6,831","6,681","5,661","4,337"
79,243709,238872,"180°,90°,90°B",6 Wire Jacket 3xDCC Modul 4P0267,300,727,"7,544","6,831","6,681","5,661","4,337"
80,243710,236791,90°,4 Wire Jacket 1xDCC Modul 8B3251,"1,69,800","1,70,694","2,07,687","2,03,328","1,90,990","1,77,980","1,61,947"
81,243711,236792,90°,2 Wire Jacket 1xDCC Modul 8B3252,"1,65,300","1,70,694","2,07,687","2,03,328","1,90,990","1,77,980","1,61,947"
82,243713,227311,180°,Twisted Wires 1xDCC Modul 8B3253,"1,69,200","1,70,694","2,07,687","2,03,328","1,90,990","1,77,980","1,61,947"
83,243715,231940,180°,Twisted Wires 1xDCC Modul 8B3254,"1,59,200","1,70,694","2,07,687","2,03,328","1,90,990","1,77,980","1,61,947"
84,236728,223845,60°,4 Wire Jacket 1xDCC Modul 85H251_,"29,784","23,516","24,949","26,406","28,478","29,302","28,754"
85,236729,225722,180°,2 Wire Jacket 1xDCC Modul 85H251B,"43,864","35,274","37,423","39,609","42,718","43,954","43,131"
86,236730,234062,60° & 90°B,6 Wire Jacket 2xDCC Modul 85H251D,"7,040","4,350","4,616","4,885","5,269","5,421","5,319"
87,236731,223850,60° & 90°B,4 Wire Jacket 2xDCC Modul 85H251F,"10,320","6,349","6,736","7,130","7,689","7,912","7,764"
88,238847,231066,60°,2 Wire Jacket 1xDCC Modul 85H251G,"43,064","26,456","28,067","29,707","32,038","32,965","32,348"
89,239726,223844,180° & 90°B,4 Wire Jacket 2xDCC Modul 85H251J,"35,184","21,635","22,953","24,294","26,200","26,958","26,454"
90,239727,223846,180° & 90°B,6 Wire Jacket 2xDCC Modul 85H251L, -   , -   , -   , -   , -   , -   , -   
91,241596,223847,180°,4 Wire Jacket 1xDCC Modul 85H251M, -   , -   , -   , -   , -   , -   , -   
92,241608,223848,180°,2 Wire Jacket 1xDCC Modul 85H251N,"6,441","5,940","6,582","8,025","8,559","8,495","8,373"
93,241612,225720,60°,2 Wire Jacket 1xDCC Modul 85H251P,"9,208","8,492","9,409","11,472","12,236","12,145","11,970"
94,243677,225721,60°,4 Wire Jacket 1xDCC Modul 85H251R,"21,232","19,579","21,695","26,452","28,212","28,002","27,598"
95,234678,234063,60°,4 Wire Jacket 1xDCC Modul 85H252_,"7,395","6,820","7,557","9,214","9,827","9,754","9,613"
96,225679,234064,180°,4 Wire Jacket 1xDCC Modul 85H252B,"3,435","3,168","3,510","4,280","4,565","4,531","4,465"
97,216680,223849,60° & 90°B,6 Wire Jacket 2xDCC Modul 85H252D,"6,441","5,940","6,582","8,025","8,559","8,495","8,373"
98,207681,223851,180° & 90°B,6 Wire Jacket 2xDCC Modul 85H252F,"7,395","6,820","7,557","9,214","9,827","9,754","9,613"
99,198682,225723,180° & 90°B,4 Wire Jacket 2xDCC Modul 85H255_,"30,440","28,071","31,104","37,924","40,448","40,147","39,568"
100,189683,231064,180° & 90°B,4 Wire Jacket 2xDCC Modul 85H255A,"3,435","3,168","3,510","4,280","4,565","4,531","4,465"
101,180684,231065,180°,"Twisted Wires 1xDCC Modul 85H253,254","3,19,908","1,89,737","2,04,697","2,29,515","2,46,365","2,49,711","2,45,481"
102,243692,236040,60° & 90°B,"4 Wire Jacket 2xDCC Modul 95C311 N,P","43,829","36,958","40,952","49,931","53,254","52,858","52,096"
103,243693,236045,60° & 90°B,"4 Wire Jacket 2xDCC Modul 95C312 F,G","43,829","36,958","40,952","49,931","53,254","52,858","52,096"
104,243694,223868,60°,"Twisted Wires 1xDCC Modul 95C311 M,N","16,176","13,639","15,113","18,427","19,653","19,507","19,226"
105,243695,223869,60°,Twisted Wires 1xDCC Modul 95C311 P,"36,002","30,359","33,639","41,015","43,745","43,419","42,793"
106,243696,223870,60°,"Twisted Wires 1xDCC Modul 95C312 _,F","16,176","13,639","15,113","18,427","19,653","19,507","19,226"
107,243697,223871,60°,Twisted Wires 1xDCC Modul 95C312 G,"36,002","30,359","33,639","41,015","43,745","43,419","42,793"
108,243698,223874,180°,Twisted Wires 1xDCC Modul 95C311 P,"36,002","30,359","33,639","41,015","43,745","43,419","42,793"
109,243699,223875,180°,Twisted Wires 1xDCC Modul 95C312 G,"36,002","30,359","33,639","41,015","43,745","43,419","42,793"
110,243689,224125,60°,4 Wire Jacket 1xDCC Modul 85F252_,"24,600","14,733","17,085","18,820","19,970","21,356","22,060"
111,243690,234054,60°,4 Wire Jacket 1xDCC Modul 85F252B,"49,273","29,510","34,221","37,697","40,001","42,776","44,185"
112,243691,224127,180°,"Twisted Wires 1xDCC Modul 85F253,254","1,47,746","88,486","1,02,612","1,13,034","1,19,942","1,28,264","1,32,490"
113,248500,236378,60° & 90°B,6 Wire Jacket 2xDCC Modul 85F264_, -   ,"2,000","4,000","6,000","5,000","4,000","2,000"
114,248501,236379,180° & 90°B,4 Wire Jacket 2xDCC Modul 85F255, -   ,"4,000","8,000","12,000","10,000","8,000","4,000"
115,251765,251773,60°,2 Wire Jacket 1xDCC Modul 85F251B,"40,630","24,334","28,218","31,084","32,984","35,273","36,435"
116,251766,251774,60°,2 Wire Jacket 1xDCC Modul 85F251D,"23,640","14,158","16,418","18,085","19,191","20,522","21,198"
117,251767,251775,60°,2 Wire Jacket 1xDCC Modul 85F251H,"8,126","4,867","5,644","6,217","6,597","7,055","7,287"
118,251768,251776,60°,2 Wire Jacket 1xDCC Modul 85F251J,"1,478",885,"1,026","1,130","1,199","1,283","1,325"
119,251769,251777,60° & 90°B,6 Wire Jacket 2xDCC Modul 85F263_, -   ,"1,000","2,000","3,000","2,500","2,000","1,000"
120,251770,251778,60° & 90°B,6 Wire Jacket 2xDCC Modul 85F263A, -   ,"1,000","2,000","3,000","2,500","2,000","1,000"
121,236380,,60° & 180°,"4 Wire Jacket 2xDCC Modul 85F265_,A", -   ,"2,000","4,000","6,000","5,000","4,000","2,000"
122,236381,,60° & 180°,4 Wire Jacket 2xDCC Modul 85F266_, -   ,"2,000","4,000","6,000","5,000","4,000","2,000"
123,236415,,90°B,"Twisted Wires 1xDCC Modul 85F265_,A", -   ,"2,000","4,000","6,000","5,000","4,000","2,000"
124,236416,,90°B,Twisted Wires 1xDCC Modul 85F266, -   ,"2,000","4,000","6,000","5,000","4,000","2,000"
125,236375,,90°B,Twisted Wires 1xDCC Modul 85F265_, -   ,"1,000","2,000","3,000","2,500","2,000","1,000"
126,236376,,90°B,"Twisted Wires 1xDCC Modul 85F265A,266", -   ,"3,000","6,000","9,000","7,500","6,000","3,000"
127,243716,238055,60°,4 Wire Jacket 1xDCC Modul 4MN251, -   , -   ,"48,129","81,404","80,828","74,966","69,941"
128,243717,238056,60°,2 Wire Jacket 1xDCC Modul 4MN252, -   , -   ,"48,129","81,404","80,828","74,966","69,941"
129,243718,238057,90°B,Twisted Wires 1xDCC Modul 4MN253, -   , -   ,"48,129","81,404","80,828","74,966","69,941"
130,243719,238058,90°B,Twisted Wires 1xDCC Modul 4MN254, -   , -   ,"48,129","81,404","80,828","74,966","69,941"
131,243910,211180,90°B,4 Wire Jacket 1xDCC Modul 7T0903S,"9,500","7,371","7,218","6,330","5,647","5,575","5,346"
132,243910,221753,90°B,6 Wire Jacket 1xDCC Modul 7T0903T,"9,800","7,371","7,218","6,330","5,647","5,575","5,346"
133,243908,217492,180°,Twisted Wires 1xDCC Modul 7T0902N,"9,500","7,371","7,218","6,330","5,647","5,575","5,346"
134,243909,217493,180°,Twisted Wires 1xDCC Modul 7T0902Q,"9,600","7,371","7,218","6,330","5,647","5,575","5,346"
135,251144,251139,90°B,4 Wire Jacket 1xDCC Modul 2F0903A,"9,700", -   ,"24,097","72,290","90,029","72,290","72,290"
136,251148,251143,90°B,6 Wire Jacket 1xDCC Modul 2F0903C,"9,700", -   ,"24,097","72,290","92,307","72,290","72,290"
137,251146,251141,180°,2 Wire Jacket 1xDCC Modul 2F0903E,"19,300", -   ,"48,193","1,44,580","1,80,058","1,44,580","1,44,580"
138,250059,250050,180°,Twisted Wires 1xDCC Modul 2F0902D,"9,700", -   ,"1,58,210","4,74,629","5,84,393","4,74,629","4,74,629"
139,250060,250051,180°,Twisted Wires 1xDCC Modul 2F0902F,"9,700", -   ,"1,58,210","4,74,629","5,84,393","4,74,629","4,74,629"
140,250061,250052,90°B,"Twisted Wires 1xDCC Modul 2F0902E,G","19,400", -   ,"48,193","1,44,580","1,80,058","1,44,580","1,44,580"
141,250062,250053,180°,Twisted Wires 1xDCC Modul 2F0902E,"9,700", -   ,"24,097","72,290","90,029","72,290","72,290"
142,250065,250054,180°,Twisted Wires 1xDCC Modul 2F0902G,"9,700", -   ,"24,097","72,290","90,029","72,290","72,290"
143,249935,205123,90°B,4 Wire Jacket 1xDCC Modul 5WA903A,"1,65,100","1,31,184","1,54,014","1,46,662","1,30,061","1,21,135","1,08,678"
144,249937,205031,90°B,6 Wire Jacket 1xDCC Modul 5WA903E,"1,56,500","1,35,043","1,58,544","1,50,975","1,33,887","1,24,698","1,11,875"
145,243918,228597,2*90°B,"6 Wire Jacket 2xDCC Modul 5QS903_,3WA903B","3,55,300","2,92,267","3,42,336","3,30,098","3,11,021","2,91,905","2,58,058"
146,243919,234757,2*90°B,8 Wire Jacket 2xDCC Modul 3WA903F,"57,300","57,840","58,852","59,071","56,196","54,169","46,990"
147,243920,236737,2*90°B,8 Wire Jacket 2xDCC Modul 5QS903F,"2,99,100","2,34,427","2,83,484","2,71,027","2,54,825","2,37,736","2,11,068"
148,250030,240224,2*90°B,8 Wire Jacket 2xDCC Modul 5QS903H,"2,900","4,884","5,906","5,646","5,309","4,953","4,397"
149,227630,191279,90°B,4 Wire Jacket 1xDCC Modul 5TA903M,"4,100","3,126", -   , -   , -   , -   , -   
150,227631,191280,90°B,6 Wire Jacket 1xDCC Modul 5TA903AF,"3,700","3,126", -   , -   , -   , -   , -   
151,227627,169953,90°B,4 Wire Jacket 1xDCC Modul 5G0903AL,"39,100","26,239","9,572","5,562", -   , -   , -   
152,227628,169954,90°B,6 Wire Jacket 1xDCC Modul 5G0903AM,"30,800","26,239","9,572","5,562", -   , -   , -   
153,243921,227995,90°B,Twisted Wires DCC1 Modul 3WA902P,"33,100","31,812","32,369","32,489","30,908","29,793","25,845"
154,243922,227996,90°B,Twisted Wires DCC1 Modul 3WA902R,"33,200","31,812","32,369","32,489","30,908","29,793","25,845"
155,243923,227997,90°B,Twisted Wires DCC1 Modul 3WA902Q,"28,900","28,920","29,426","29,536","28,098","27,085","23,495"
156,243924,227998,90°B,Twisted Wires DCC1 Modul 3WA902S,"29,700","28,920","29,426","29,536","28,098","27,085","23,495"
157,243925,227991,90°B,Twisted Wires DCC2 Modul 3WA902P,"33,100","31,812","32,369","32,489","30,908","29,793","25,845"
158,243926,227992,90°B,Twisted Wires DCC2 Modul 3WA902R,"33,200","31,812","32,369","32,489","30,908","29,793","25,845"
159,243927,227993,90°B,Twisted Wires DCC2 Modul 3WA902Q,"28,900","28,920","29,426","29,536","28,098","27,085","23,495"
160,243928,227994,90°B,Twisted Wires DCC2 Modul 3WA902S,"29,700","28,920","29,426","29,536","28,098","27,085","23,495"
161,243929,228003,90°B,Twisted Wires DCC1 Modul 5QS902S,"1,40,200","1,12,329","1,35,836","1,29,867","1,22,104","1,13,915","1,01,137"
162,243931,228004,90°B,Twisted Wires DCC1 Modul 5QS902AA,"1,37,400","1,12,329","1,35,836","1,29,867","1,22,104","1,13,915","1,01,137"
163,243932,228006,90°B,"Twisted Wires DCC1 Modul 5QS902AC,AE","2,78,100","2,24,659","2,71,672","2,59,734","2,44,207","2,27,830","2,02,273"
164,243933,227999,90°B,Twisted Wires DCC2 Modul 5QS902S,"1,40,200","1,12,329","1,35,836","1,29,867","1,22,104","1,13,915","1,01,137"
165,243935,228000,90°B,Twisted Wires DCC2 Modul 5QS902AA,"1,37,400","1,12,329","1,35,836","1,29,867","1,22,104","1,13,915","1,01,137"
166,243936,228002,90°B,"Twisted Wires DCC2 Modul 5QS902AC,AE","2,78,100","2,24,659","2,71,672","2,59,734","2,44,207","2,27,830","2,02,273"
167,243939,230286,90°B,Twisted Wires 1xDCC Modul 5WA902 AJ,"24,600","25,464","23,856","22,132","17,289","15,990","14,393"
168,243940,230287,90°B,Twisted Wires 1xDCC Modul 5WA902 AK,"61,700","50,928","47,712","44,264","34,579","31,981","28,786"
169,243941,230288,90°B,Twisted Wires 1xDCC Modul 5WA902 AL,"48,900","50,928","47,712","44,264","34,579","31,981","28,786"
170,243942,230289,90°B,Twisted Wires 1xDCC Modul 5WA902 AQ,"25,400","25,464","23,856","22,132","17,289","15,990","14,393"
171,243944,230291,90°B,Twisted Wires 1xDCC Modul 5WA902 AS,"65,800","50,928","47,712","44,264","34,579","31,981","28,786"
172,243945,232329,90°B,"Twisted Wires 1xDCC Modul 5WA902 BS,CC","23,900","26,873","31,862","29,913","24,840","23,172","20,774"
173,243946,232330,90°B,"Twisted Wires 1xDCC Modul 5WA902 AR,CA,CE","77,000","77,800","79,574","74,176","59,418","55,153","49,560"
174,252337,223717,90°B,Twisted Wires 1xDCC Modul 5G0902AJ,"2,500","1,725",242, -   , -   , -   , -   
175,252338,223724,90°B,Twisted Wires 1xDCC Modul 5G0902AM,"2,500","1,725",242, -   , -   , -   , -   
176,252334,223720,90°B,"Twisted Wires 1xDCC Modul 5G0902AL,2GA902L","9,800","6,861","1,939",973,944,898,798
177,252335,223727,90°B,"Twisted Wires 1xDCC Modul 5G0902AP,2GA902N","9,800","6,861","1,939",973,944,898,798
178,252340,223725,90°B,"Twisted Wires 1xDCC Modul 5NA902AH,AJ,AL","7,400","7,400",,,,,
179,252402,223726,90°B,"Twisted Wires 1xDCC Modul 5G0902AN,5GD902L,5TAAC","2,000","2,000",,,,,
,,,,"DCC Modul 5NA902AD,AE",,,,,,,
,,,,5GD 927 902 J,,,,,,,
,,,,5GD 927 902 L,,,,,,,
